"","type","income","education","prestige","bonus"
"accountant","prof",62,86,82,6.2
"pilot","prof",72,76,83,7.2
"architect","prof",75,92,90,7.5
"author","prof",55,90,76,5.5
"chemist","prof",64,86,90,6.4
"minister","prof",21,84,87,2.1
"professor","prof",64,93,93,6.4
"dentist","prof",80,100,90,8
"reporter","wc",67,87,52,6.7
"engineer","prof",72,86,88,7.2
"undertaker","prof",42,74,57,4.2
"lawyer","prof",76,98,89,7.6
"physician","prof",76,97,97,7.6
"welfare.worker","prof",41,84,59,4.1
"teacher","prof",48,91,73,4.8
"conductor","wc",76,34,38,7.6
"contractor","prof",53,45,76,5.3
"factory.owner","prof",60,56,81,6
"store.manager","prof",42,44,45,4.2
"banker","prof",78,82,92,7.8
"bookkeeper","wc",29,72,39,2.9
"mail.carrier","wc",48,55,34,4.8
"insurance.agent","wc",55,71,41,5.5
"store.clerk","wc",29,50,16,2.9
"carpenter","bc",21,23,33,2.1
"electrician","bc",47,39,53,4.7
"RR.engineer","bc",81,28,67,8.1
"machinist","bc",36,32,57,3.6
"auto.repairman","bc",22,22,26,2.2
"plumber","bc",44,25,29,4.4
"gas.stn.attendant","bc",15,29,10,1.5
"coal.miner","bc",7,7,15,0.7
"streetcar.motorman","bc",42,26,19,4.2
"taxi.driver","bc",9,19,10,0.9
"truck.driver","bc",21,15,13,2.1
"machine.operator","bc",21,20,24,2.1
"barber","bc",16,26,20,1.6
"bartender","bc",16,28,7,1.6
"shoe.shiner","bc",9,17,3,0.9
"cook","bc",14,22,16,1.4
"soda.clerk","bc",12,30,6,1.2
"watchman","bc",17,25,11,1.7
"janitor","bc",7,20,8,0.7
"policeman","bc",34,47,41,3.4
"waiter","bc",8,32,10,0.8
